選手名,チーム,打率,打席,安打数,ホームラン,打点,三振,盗塁,年齢,勤続年数,推定年俸(万円)
鈴木 誠也,広島,0.335,612,167,28,87,81,25,25,8,28000
ビシエド,中日,0.315,594,168,18,93,88,2,30,5,30000
糸井 嘉男,阪神,0.314,444,120,5,42,63,9,38,17,40000
大島 洋平,中日,0.3118,623,174,3,45,78,30,33,11,25000
坂本 勇人,巨人,0.3117,639,173,40,94,123,5,30,14,50000
西川 龍馬,広島,0.2971,585,159,16,64,81,6,24,5,6800
青木 宣親,ヤクルト,0.2965,565,145,16,58,72,1,37,11,34000
高橋 周平,中日,0.293,471,126,7,59,70,3,25,9,6000
丸 佳浩,巨人,0.292,631,156,27,89,125,12,30,13,45000
阿部 寿樹,中日,0.291,484,130,7,59,82,1,29,5,3000
亀井 善行,巨人,0.2844,503,128,13,55,91,9,37,16,11000
宮﨑 敏郎,DeNA,0.284,473,123,15,49,35,0,30,8,16000
神里 和毅,DeNA,0.279,458,119,6,35,121,15,25,3,4800
會澤 翼,広島,0.277,447,104,12,63,81,2,31,14,18000
雄平,ヤクルト,0.273,493,122,12,56,71,4,35,18,10000
近本 光司,阪神,0.2713,640,159,9,42,110,36,24,2,4500
山田 哲人,ヤクルト,0.2711,641,141,35,98,121,33,27,10,50000
ソト,DeNA,0.2693,584,139,43,108,98,0,30,3,18500
中村 悠平,ヤクルト,0.2688,450,100,5,36,64,1,29,12,9000
糸原 健斗,阪神,0.267,572,131,2,45,70,6,26,4,6000
梅野 隆太郎,阪神,0.266,492,115,9,59,83,14,28,7,10000
岡本 和真,巨人,0.265,628,147,31,94,132,3,23,6,14000
菊池 涼介,広島,0.261,619,143,13,48,102,14,29,9,30000
大山 悠輔,阪神,0.258,587,139,14,76,98,3,24,4,4700
京田 陽太,中日,0.249,574,126,3,40,91,17,25,4,6400
ロペス,DeNA,0.241,597,133,31,84,107,0,35,8,15000
大和,DeNA,0.237,490,104,0,37,75,3,31,15,10000
村上 宗隆,ヤクルト,0.231,593,118,36,96,184,5,19,3,4500
